brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,GPU,display_size,OS,warranty,resolution,storage_gb,ram_gb,brand_encoded,processor_encoded,OS_encoded,Ram_type_encoded,ROM_type_encoded
Asus,Vivobook S14 Flip 2022 TN3402QA-LZ501WS Laptop,55800,69.32352941176471,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 11 OS,1,2304000.0,512.0,16.0,3,100,12,2,1
Xiaomi,Notebook Pro 120G Laptop,72422,68.0,12th Gen Intel Core i5 12450H ,"Octa Core, 12 Threads",LPDDR5,SSD,Intel UHD Graphics,14.0,Windows 11 OS,1,4096000.0,512.0,16.0,27,41,12,8,1
Acer,Extensa 15 EX215-54 Laptop,31500,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,15,12,2,1
Asus,VivoBook 14 X415EA-EK322WS Notebook,37990,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated Intel UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,15,12,2,1
HP,Victus 15-fb0050AX Gaming Laptop,63490,71.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,101,12,2,1
Lenovo,IdeaPad Slim 5 82SF008YIN Laptop,60990,66.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,14,37,12,2,1
Lenovo,IdeaPad Slim 3 82KU017EIN Laptop,39900,64.0,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,97,12,2,1
Asus,VivoBook 15 X1500EA-EJ322WS Laptop,33990,69.32352941176471,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,33,12,2,1
HP,Pavilion 15s-fq5112TU Laptop,57580,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,9,37,12,2,1
Asus,ROG Zephyrus Duo 16 2022 GX650RXZ-LO227WS Gaming Laptop,339990,85.0,6th Gen AMD Ryzen 9  6900HX,"Octa Core, 16 Threads",DDR5,SSD,16GB NVIDIA GeForce RTX 3080 Ti,16.0,Windows 11 OS,1,4096000.0,2048.0,32.0,3,125,12,4,1
HP,15s-fq2672TU Laptop,34999,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,15,12,2,1
HP,15s-fq5111TU Laptop,54990,61.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,37,12,2,1
HP,15s-dr3506TU Laptop,35999,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,Hard-Disk,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,1024.0,8.0,9,15,12,2,0
HP,15s-du3614TU Laptop,41710,65.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,Hard-Disk,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,1024.0,8.0,9,15,12,2,0
Dell,Vostro 5625 laptop,50090,67.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,16.0,Windows 11 OS,1,2304000.0,512.0,8.0,6,107,12,2,1
HP,Pavilion 14s- fy1003AU Laptop,45890,69.32352941176471,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,9,98,12,2,1
HP,15s-eq1559AU Laptop,29990,69.32352941176471,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,1049088.0,512.0,8.0,9,84,12,2,1
HP,15s-FR2511TU Laptop,37672,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,15,12,2,1
Dell,G15-5525 Gaming Laptop,83523,77.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",DDR5,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,6,120,12,4,1
Acer,Aspire 5 A515-57G Gaming Laptop,52128,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,39,12,2,1
Acer,Aspire 3 A315-59 Laptop,39990,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics ,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,37,12,2,1
Dell,Inspiron 3525 Laptop,54790,66.0,5th Gen AMD Ryzen 7  5825U,"Octa Core, 16 Threads",DDR4,SSD,AMD Radeon Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,6,112,12,2,1
Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,147090,86.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",LPDDR5,SSD,8GB NVIDIA GeForce RTX 3070 Ti,16.0,Windows 11 OS,1,4096000.0,2048.0,32.0,1,51,12,8,1
HP,Pavilion 14-dv2041TU Laptop,67990,61.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,9,37,12,2,1
MSI,Thin GF63 11SC-853IN Gaming Laptop,49290,70.0,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA Geforce GTX1650 Max Q,15.6,Windows 10 OS,2,2073600.0,512.0,8.0,15,25,10,2,1
Asus,TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,51990,62.0,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11  OS,1,2073600.0,512.0,8.0,3,5,11,2,1
HP,Pavilion 14-dv2015TU Laptop,83149,64.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,2073600.0,1024.0,16.0,9,45,12,2,1
HP,Pavilion 15s-FQ5009TU Laptop,54999,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,37,12,2,1
Samsung,Galaxy Book2 15 Laptop,74990,65.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",LPDDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,21,45,12,5,1
Lenovo,IdeaPad Gaming 3 82K200X3IN Laptop,66990,67.0,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,14,111,12,2,1
HP,Pavilion 15-eg2009TU Laptop,61990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,39,12,2,1
HP,Pavilion 14-ec1003AU Laptop,51573,69.32352941176471,5th Gen AMD Ryzen 5 5625U ,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,9,108,12,2,1
Acer,Aspire 3 A315-58 Laptop UN.ADDSI.036 Laptop,31500,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows OS,1,2073600.0,256.0,8.0,1,15,13,2,1
Acer,Extensa EX215-54 NX.EGJSI.00E Laptop,29000,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,256.0,4.0,1,15,12,2,1
HP,15s-eq2143au Laptop,32990,69.32352941176471,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon AMD,15.6,Windows OS,1,2073600.0,512.0,8.0,9,92,13,2,1
Lenovo,Ideapad 15ALC6 82KU017KIN Laptop,36990,69.32352941176471,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,97,12,2,1
Apple,MacBook Pro 14 inch MKGQ3HN Laptop,239900,69.32352941176471,Apple M1 Pro M1 Pro,10 Cores (8P + 2E),Unified,SSD,16-core GPU,14.2,Mac OS,1,5939136.0,1024.0,16.0,2,163,7,11,1
Apple,MacBook Pro 16 inch MK1A3HN Laptop,309490,60.0,Apple M1 Max M1 Max,10 Cores,Unified,SSD,32-core GPU,16.2,Mac OS,1,7720704.0,1024.0,32.0,2,162,7,11,1
Dell,Inspiron 3511 Laptop,49990,69.32352941176471,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 10  OS,1,2073600.0,512.0,8.0,6,23,9,2,1
Dell,Inspiron 3511 Laptop,40250,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,Hard-Disk,Intel Integrated,15.6,Windows 10 OS,1,2073600.0,1024.0,8.0,6,15,10,2,0
Asus,VivoBook F571LH-BQ435T Gaming Laptop,59990,72.0,10th Gen Intel Core i7 10870H,"Octa Core, 16 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 10 OS,1,2073600.0,512.0,16.0,3,12,10,2,1
Dell,Inspiron 3511 Laptop,57990,65.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,Hard-Disk,2GB NVIDIA GeForce MX350,15.6,Windows 10 OS,1,2073600.0,1024.0,8.0,6,23,10,2,0
Realme,Book Slim Laptop,36999,69.32352941176471,11th Gen Intel Core i3 1115G4 ,"Dual Core, 4 Threads",LPDDR4x,SSD,Intel UHD Graphics,14.0,Windows 10 OS,1,3110400.0,256.0,8.0,20,16,10,7,1
Xiaomi,RedmiBook Pro 15 Laptop,53990,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 10  OS,1,6400000.0,512.0,16.0,27,101,9,2,1
Xiaomi,RedmiBook Pro 14 Laptop,48990,62.0,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 10  OS,1,4096000.0,512.0,16.0,27,98,9,2,1
Vaio,SE14 NP14V3IN033P Laptop,39990,69.32352941176471,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 10 OS,2,2073600.0,512.0,8.0,24,23,10,2,1
HP,15s-GR0012AU Laptop,37290,61.0,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",DDR4,Hard-Disk,AMD Radeon Vega 6,15.6,Windows 10 OS,1,2073600.0,1024.0,8.0,9,85,10,2,0
Microsoft,Surface Laptop 3 1873,60390,69.32352941176471,3rd Gen AMD Ryzen 5  3580U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon Vega 9,15.0,Windows 10 OS,1,4153344.0,128.0,8.0,16,87,10,2,1
Huawei,MateBook D15 Laptop,54999,65.0,3rd Gen AMD Ryzen 5 3500U ,"Quad Core, 8 Threads",DDR4,SSD,2GB NVIDIA GeForce MX250,15.6,Windows 10 OS,1,2073600.0,256.0,8.0,11,89,10,2,1
HP,EliteBook 840 G6,90464,69.32352941176471,8th Gen Intel Core i5 8265U,"Quad Core, 8 Threads",DDR4,SSD,Integrated UHD Graphics 620,14.0,Windows 10 OS,3,2073600.0,512.0,8.0,9,151,10,2,1
Acer,Swift SF514-52T NX.GTMSI.025 Laptop,54490,61.0,8th Gen Intel Core i5 8250U,"Quad Core, 8 Threads",DDR3,SSD,Intel Integrated UHD 620,14.0,Windows 10 OS,1,2073600.0,512.0,8.0,1,150,10,1,1
Apple,MacBook Pro 2018 13-inch Touch Bar Laptop,199900,69.32352941176471,Intel,Quad Core,DDR3,SSD,Intel Iris Plus Graphics 655,13.3,Mac High Sierra OS,1,4096000.0,512.0,8.0,2,168,6,1,1
Dell,Latitude 13 5320 2 in 1 Laptop,89999,62.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel UHD Graphics,13.3,Windows 10  OS,1,2073600.0,256.0,8.0,6,23,9,2,1
Dell,Latitude 9430 Laptop,260000,62.0,12th Gen Intel Core i7 1265U,"10 Cores (2P + 8E), 12 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,14.1,Windows OS,1,4096000.0,1024.0,32.0,6,50,13,8,1
Acer,Aspire Lite 15 AL15-51 2023  Laptop,45999,64.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,1024.0,16.0,1,27,12,2,1
Lenovo,Thinkpad P16s 21BTS0DG00 Laptop,106990,69.0,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel UHD Graphics,16.0,Windows 11 OS,3,2304000.0,1024.0,16.0,14,46,12,2,1
Lenovo,ThinkPad X1 Carbon 21HMS00000 Laptop,221990,64.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,2304000.0,1024.0,16.0,14,66,12,8,1
Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,146990,86.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",LPDDR5,SSD,8GB NVIDIA GeForce RTX 3070 Ti,16.0,Windows 11 OS,1,4096000.0,2048.0,32.0,1,51,12,8,1
Asus,TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,52990,62.0,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11  OS,1,2073600.0,512.0,8.0,3,5,11,2,1
Acer,Swift 3 SF314-512 NX.K0FSI.002 Laptop,59990,69.32352941176471,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR4X,SSD,Intel Integrated Iris Xe,14.0,Windows 11 OS,1,3686400.0,512.0,8.0,1,39,12,6,1
Dell,Inspiron 15 3511 Laptop,52990,69.32352941176471,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Integrated UHD Graphics,15.6,Windows 11  OS,1,2073600.0,512.0,8.0,6,23,11,2,1
Samsung,Galaxy Book2 15 Laptop,64490,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",LPDDR4X,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,21,37,12,6,1
Samsung,Galaxy Book2 Laptop,78990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR4x,SSD,4GB Intel Arc A350M Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,21,39,12,7,1
Samsung,Galaxy Book2 15 Laptop,59900,69.32352941176471,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",LPDDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,21,38,12,5,1
HP,Pavilion 14-EC1019AU Laptop,55990,69.32352941176471,5th Gen AMD Ryzen 5  5625U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,9,102,12,2,1
Lenovo,V15-IGL 82C3A008IH Laptop,19990,69.32352941176471,Intel Celeron  N4020 ,"Dual Core, 2 Threads",DDR4,SSD,Intel Integrated UHD,15.6,DOS OS,1,2073600.0,256.0,4.0,14,172,3,2,1
Realme,Book Prime Laptop,47990,63.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",LPDDR4X,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,3110400.0,512.0,16.0,20,22,12,6,1
Samsung,Galaxy Book2 Pro 360 13 Laptop,112990,72.0,12th Gen Intel Core i7 1260P ,"Octa Core, 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,47,12,8,1
Samsung,Galaxy Book2 Pro 13 Laptop,101990,67.0,12th Gen Intel Core i7 1260P ,"Octa Core, 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,47,12,8,1
Samsung,Galaxy Book2 Pro 360 13 Laptop,102990,71.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,39,12,8,1
Asus,Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,33499,69.32352941176471,Intel Pentium Silver  N6000,"Quad Core, 4 Threads",LPDDR4X,Hard-Disk,Intel UHD Graphics,13.3,Windows 11 OS,1,2073600.0,128.0,4.0,3,180,12,6,0
HP,15s-eq2143au Laptop,33999,69.32352941176471,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon AMD,15.6,Windows OS,1,2073600.0,512.0,8.0,9,92,13,2,1
Apple,MacBook Pro 16 inch MK183HN Laptop,215994,69.32352941176471,Apple M1 Pro M1 Pro,10 Cores,Unified,SSD,16-core GPU,16.2,Mac OS,1,7720704.0,512.0,16.0,2,163,7,11,1
Apple,MacBook Pro 14 inch MKGQ3HN Laptop,215994,69.32352941176471,Apple M1 Pro M1 Pro,10 Cores (8P + 2E),Unified,SSD,16-core GPU,14.2,Mac OS,1,5939136.0,1024.0,16.0,2,163,7,11,1
Asus,VivoBook X509FA-BR301T Laptop,26500,69.32352941176471,10th Gen Intel Core i3 10110U ,"Dual Core, 4 Threads",DDR4,Hard-Disk,Intel UHD Graphics,15.6,Windows 10 OS,1,2073600.0,1024.0,4.0,3,2,10,2,0
Xiaomi,Mi Notebook Pro X 15 Laptop,79990,65.0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,15.6,Windows 10  OS,1,7464960.0,512.0,16.0,27,21,9,7,1
Dell,Inspiron 5518 Laptop,68000,70.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 10 OS,1,2073600.0,512.0,16.0,6,20,10,2,1
Lenovo,IdeaPad 3 15ITL6 82H8014BIN Laptop,47925,60.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Integrated Iris Xe,15.6,Windows 10 OS,1,2073600.0,512.0,8.0,14,23,10,2,1
Xiaomi,RedmiBook Pro 15 Laptop,59990,70.0,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 10  OS,1,6400000.0,512.0,16.0,27,115,9,2,1
Dell,Latitude 3410 Laptop,67800,69.32352941176471,10th Gen Intel Core i5 10210U ,"Quad Core, 8 Threads",DDR4,SSD,Intel HD,14.0,Ubuntu OS,1,1049088.0,512.0,8.0,6,4,8,2,1
Microsoft,Surface Laptop 3 1873,60490,69.32352941176471,3rd Gen AMD Ryzen 5  3580U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon Vega 9,15.0,Windows 10 OS,1,4153344.0,128.0,8.0,16,87,10,2,1
Apple,MacBook Air 2020 Laptop,72999,69.32352941176471,10th Gen Intel Core i3,"Quad Core, 8 Threads",LPDDR4X,SSD,Intel Iris Plus,13.3,Mac 10.15.3	 OS,0,4096000.0,256.0,8.0,2,0,4,6,1
Apple,MacBook Air 2020 Laptop,109999,69.32352941176471,10th Gen Intel Core i7,"Quad Core, 8 Threads",LPDDR4X,SSD,Intel Iris Plus,13.3,Mac 10.15.3	 OS,0,4096000.0,512.0,8.0,2,9,4,6,1
Dell,Inspiron 5370 Laptop,87990,67.0,8th Gen Intel Core i7 8550U,"Quad Core, 8 Threads",DDR4,SSD,4GB Geforce MX130,13.3,Windows 10 OS,1,2073600.0,256.0,8.0,6,152,10,2,1
HP,ZBook 15 G6 Laptop,121900,69.0,9th Gen intel Core i7 9750H,"Hexa Core, 12 Threads",DDR4,SSD,Intel UHD Graphics 630,15.6,Windows 10 OS,0,8294400.0,512.0,16.0,9,155,10,2,1
Asus,ZenBook Pro 15 UX580GE-E2032T Laptop,136490,69.32352941176471,8th Gen Intel Core i9 8950HK,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA Geforce GTX 1050Ti,15.6,Windows 10 OS,1,8294400.0,1024.0,16.0,3,153,10,2,1
Gigabyte,G5 MF-E2IN313SHLaptop,143700,77.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,6GB NVIDIA GeForce RTX 4050,15.6,Windows 11 OS,2,2073600.0,512.0,8.0,8,42,12,2,1
HP,15s-er2004AU Laptop,50490,69.32352941176471,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",DDR4,SSD,AMD Radeon,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,9,110,12,2,1
Dell,Inspiron 3530 IN3530RMD8W001ORS1 Laptop,71990,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,1024.0,16.0,6,58,12,2,1
Dell,G15-5530 15 2023 Gaming Laptop,136899,75.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),DDR5,SSD,6GB NVIDIA GeForce RTX 4050,15.6,Windows 11 OS,1,2073600.0,1024.0,16.0,6,71,12,4,1
Lenovo,IdeaPad Flex 5 82R9008FIN Laptop,62990,69.0,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 11 OS,1,2304000.0,512.0,16.0,14,97,12,2,1
Asus,Vivobook Go 14 E1404FA-NK547WS Laptop,43990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,129,12,8,1
Acer,Aspire 3 A315-24P NX.KDESI.00B Laptop,33990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,129,12,8,1
Asus,Vivobook 15X OLED M3504YA-LK552WS Laptop,58990,65.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,1024.0,16.0,3,131,12,2,1
MSI,Pulse 15 B13VGK-1296IN Gaming Laptop,154990,71.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",DDR5,SSD,8GB NVIDIA GeForce RTX 4070,15.6,Windows 11 OS,2,3686400.0,1024.0,16.0,15,73,12,4,1
MSI,Summit B15 A11M-236IN Laptop,69990,64.0,11th Gen Intel Core i7 1185G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe,15.6,Windows 10 OS,2,2073600.0,1024.0,16.0,15,31,10,2,1
Lenovo,Thinkpad L14 Gen 2 ‎20X1S10V00 Laptop,50000,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,DOS OS,3,2073600.0,512.0,8.0,14,15,3,2,1
Lenovo,V15 G4 Laptop,36990,69.32352941176471,7th Gen AMD Ryzen 5 7520U ,"Quad Core, 8 Threads",DDR5,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,130,12,4,1
Asus,Vivobook 15X OLED M3504YA-LK741WS Laptop,76500,66.0,7th Gen AMD Ryzen 7  7730U,"Octa Core, 16 Threads",DDR4,SSD,Integrated AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,133,12,2,1
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,33990,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,Intel UHD Graphics ,15.6,Windows 11 OS,1,2073600.0,256.0,8.0,14,34,12,2,1
Lenovo,IdeaPad 1 15AMN7 82VG00ERIN Laptop,32990,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon 610M,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,126,12,8,1
Asus,Vivobook 16X K3605VU-MB541WS Laptop,103221,69.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,6GB NVIDIA Geforce RTX 4050,16.0,Windows 11 OS,1,2304000.0,512.0,16.0,3,63,12,2,1
Asus,Vivobook 16X K3605ZU-MB542WS Laptop,89990,71.0,12th Gen Intel Core i5 12450H ,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,6GB NVIDIA Geforce RTX 4050,16.0,Windows 11 OS,1,2304000.0,512.0,16.0,3,41,12,2,1
Lenovo,IdeaPad Gaming 3 15IHU6 82K101R9IN Laptop,56990,69.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 2050 ,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,22,12,2,1
Asus,Vivobook Go 14 E1404FA-NK543WS Laptop,44980,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,3,129,12,8,1
Asus,Vivobook Go 14 E410KA-EK013W Laptop,23990,69.32352941176471,Intel   N4500,"Dual Core, 2 Threads",DDR4,SSD,Intel Integrated UHD,14.0,Windows OS,1,2073600.0,256.0,8.0,3,169,13,2,1
Asus,Vivobook Pro 15 OLED M6500QC-LK741WS Laptop,76990,63.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,116,12,2,1
